Year,Current_Selling_Price,MRP,Kms_Driven
2016,5.25,5.7,3493
2005,3.51,13.7,75000
2010,0.31,1.05,213000
2006,2.1,7.6,50456
2005,0.2,0.57,55000
2016,0.51,0.94,24000
2015,5.95,9.4,36000
2016,11.25,13.6,22671
2011,0.35,1.05,30000
2015,4.65,7.2,48767
2016,2.9,4.43,12500
2017,0.78,0.84,5000
2012,4.5,9.4,36000
2016,0.72,0.95,500
2013,1.25,1.5,15000
2010,0.31,1.05,213000
2017,5.75,7.13,12479
2009,3.0,10.0,69562
2015,0.48,0.84,23000
2014,0.45,0.826,23000
2016,1.05,1.17,6000
2012,4.5,9.4,36100
2017,23.0,25.39,15000
2015,0.6,0.95,16600
2015,7.25,10.79,41678
2018,9.25,9.83,2071
2012,4.95,9.4,60000
2012,0.3,0.51,60000
2015,5.4,6.82,31427
2012,1.25,2.69,50000
2017,4.9,5.71,2400
2017,9.1,9.4,15141
2013,1.0,1.47,46500
2014,3.75,6.8,33019
2010,9.25,20.45,59000
2016,0.35,0.57,24000
2011,3.0,4.99,20000
2005,3.49,13.46,197176
2015,4.75,7.13,35866
2014,4.9,8.93,83000
2014,5.5,8.06,45000
2017,9.25,9.4,15001
2016,1.15,1.5,8700
2013,5.25,9.9,54242
2015,7.45,10.38,45000
2009,0.9,1.75,40000
2013,5.0,9.9,56701
2015,0.55,0.84,58000
2012,3.75,6.79,35000
2016,0.3,0.48,50000
2015,5.25,5.9,14465
2013,0.3,0.58,30000
2015,5.25,5.9,14465
2015,4.5,7.7,40588
2014,0.45,0.826,23000
2012,5.2,9.4,71000
2015,4.5,7.7,40588
2017,1.45,1.6,1200
2010,3.25,6.79,58000
2015,3.95,6.8,36000
2015,5.15,5.7,34797
2015,5.15,5.7,34797
2012,4.5,9.4,36000
2014,3.95,6.76,71000
2015,5.4,6.1,31427
2015,5.75,7.5,44000
2016,3.15,4.43,15000
2013,4.8,9.4,60241
2013,5.5,14.68,72000
2016,5.25,7.6,17000
2017,0.75,0.87,11000
2016,14.25,20.91,12000
2014,0.4,0.64,13700
2013,1.1,1.47,33000
2014,6.0,9.95,45000
2017,6.0,6.49,16200
2012,3.1,6.79,52132
2013,6.15,9.4,45000
2014,11.25,16.09,58242
2013,0.3,0.58,30000
2014,4.9,8.93,83000
2016,0.6,0.8,20000
2010,0.31,1.05,213000
2015,1.1,1.9,14000
2015,0.38,0.72,38600
2014,6.45,9.4,45078
2013,5.0,9.9,56701
2014,2.5,3.46,45280
2015,1.15,1.47,17000
2010,2.25,7.5,61203
2014,4.4,7.13,34000
2014,4.1,6.8,39485
2016,11.25,13.6,22671
